,angular_v_x,angular_v_y,angular_v_z,cur_steering_angle,des_steering_angle,heading_error,lateral_error,linear_acc_x,linear_acc_y,linear_acc_z,linear_v_x,linear_v_y,linear_v_z,position_x,position_y,position_z,time_cost,time_cur
0,0.0638906136155,-0.00809742510319,1.71921656147e-05,-4.06511531992e-07,7.67291857478e-05,-0.000222914609013,0.000175988826326,1.81648409367,0.00971089769155,7.39248085022,0.390686035156,0.00178527832031,-0.102720499039,32.0344581604,-447.654876709,0.398672312498,0.0114827156067,0.0
1,0.0638906136155,-0.00809742510319,1.71921656147e-05,-4.06511531992e-07,7.3382523169e-05,-0.00022335496402,0.000260048578021,1.81648409367,0.00971089769155,7.39248085022,0.390686035156,0.00178527832031,-0.102720499039,32.0344581604,-447.654876709,0.398672312498,0.0102601051331,0.0499730110168
2,-0.0241981614381,0.00198530755006,0.000283191853669,-2.68542152071e-07,5.89045813716e-05,-0.00022335496402,0.000260048578021,2.50967121124,-0.0203907638788,13.5650281906,0.5224609375,-0.00149345397949,0.0431005209684,32.0340690613,-447.628753662,0.400801241398,0.0110359191895,0.0999734401703
3,-0.0241981614381,0.00198530755006,0.000283191853669,-2.68542152071e-07,5.62458595972e-05,-0.000209046265276,0.00017996470007,2.50967121124,-0.0203907638788,13.5650281906,0.5224609375,-0.00149345397949,0.0431005209684,32.0340690613,-447.628753662,0.400801241398,0.0141904354095,0.150011777878
4,-0.0209109783173,0.00144887436181,-0.000395184935769,9.53888161348e-07,7.9955959845e-05,-0.000209046265276,0.00017996470007,3.51491689682,0.0469537787139,6.34241294861,0.677551269531,0.000652313232422,0.0286141633987,32.0334358215,-447.59487915,0.402162730694,0.0122401714325,0.199973344803
5,-0.0209109783173,0.00144887436181,-0.000395184935769,9.53888161348e-07,7.63734536174e-05,-0.000228311228676,0.000204787258543,3.51491689682,0.0469537787139,6.34241294861,0.677551269531,0.000652313232422,0.0286141633987,32.0334358215,-447.59487915,0.402162730694,0.0119495391846,0.24999833107
6,0.0551307797432,-0.00184936088044,-0.000707562663592,8.9680088422e-07,0.000125203691171,-0.000228311228676,0.000204787258543,2.76978731155,-0.0800512731075,12.8626871109,0.846008300781,0.000375747680664,-0.110367894173,32.0326690674,-447.552581787,0.39667442441,0.0123891830444,0.299974918365
7,0.0551307797432,-0.00184936088044,-0.000707562663592,8.9680088422e-07,0.000119668846889,-0.000263398559752,0.000211863491215,2.76978731155,-0.0800512731075,12.8626871109,0.846008300781,0.000375747680664,-0.110367894173,32.0326690674,-447.552581787,0.39667442441,0.0132420063019,0.349969863892
8,-0.0368802957237,-0.00117548578419,-0.000205648844712,9.30372266339e-07,0.000144781484934,-0.000263398559752,0.000211863491215,2.87939715385,0.080423258245,9.43553924561,0.979095458984,-0.000461578369141,0.0608967542648,32.0318260193,-447.503631592,0.399663776159,0.0155251026154,0.40000629425
9,-0.0368802957237,-0.00117548578419,-0.000205648844712,9.30372266339e-07,0.000137730813596,-0.000272729662803,0.000175789084505,2.87939715385,0.080423258245,9.43553924561,0.979095458984,-0.000461578369141,0.0608967542648,32.0318260193,-447.503631592,0.399663776159,0.0162355899811,0.450000762939
10,-0.0193944722414,-0.00145369686652,9.49255263549e-06,2.0689176381e-06,0.000116681562766,-0.000272729662803,0.000175789084505,3.55496835709,-0.0316950939596,7.00386047363,1.134765625,0.00205039978027,0.0381022691727,32.0307197571,-447.446899414,0.401449471712,0.0112216472626,0.499973535538
11,-0.0193944722414,-0.00145369686652,9.49255263549e-06,2.0689176381e-06,0.000111302156954,-0.000270813414013,0.000263213695491,3.55496835709,-0.0316950939596,7.00386047363,1.134765625,0.00205039978027,0.0381022691727,32.0307197571,-447.446899414,0.401449471712,0.0129635334015,0.549971103668
12,0.0561835430562,0.00213960697874,0.000111575398478,2.09031932172e-05,0.000111337569549,-0.000270813414013,0.000263213695491,2.46104717255,-0.0229562800378,13.3561306,1.30383300781,-0.00146293640137,-0.0967618227005,32.0296401978,-447.381713867,0.396657437086,0.0116529464722,0.599992513657
13,0.0561835430562,0.00213960697874,0.000111575398478,2.09031932172e-05,0.000107751677568,-0.000262944407476,0.000172270780994,2.46104717255,-0.0229562800378,13.3561306,1.30383300781,-0.00146293640137,-0.0967618227005,32.0296401978,-447.381713867,0.396657437086,0.0107853412628,0.650011301041
14,-0.0417721644044,-0.00540617201477,-0.000879988539964,2.87133389065e-05,0.000182194784129,-0.000262944407476,0.000172270780994,3.38419628143,0.050786152482,9.24549484253,1.43569946289,0.00133895874023,0.0804287791252,32.0283050537,-447.309936523,0.400579303503,0.0174548625946,0.69997048378
15,-0.0417721644044,-0.00540617201477,-0.000879988539964,2.87133389065e-05,0.000174793672712,-0.000303720004686,0.000218706742148,3.38419628143,0.050786152482,9.24549484253,1.43569946289,0.00133895874023,0.0804287791252,32.0283050537,-447.309936523,0.400579303503,0.0175592899323,0.749974727631
16,-0.00991946272552,0.00549746677279,0.00115561310668,3.00340398098e-05,9.12570939589e-05,-0.000303720004686,0.000218706742148,3.08509755135,-0.0555205792189,7.11837291718,1.59564208984,-0.00101470947266,0.0239865779877,32.0269432068,-447.230163574,0.401628822088,0.0118639469147,0.800004720688
17,-0.00991946272552,0.00549746677279,0.00115561310668,3.00340398098e-05,8.82279386513e-05,-0.000241490230164,0.00014858961723,3.08509755135,-0.0555205792189,7.11837291718,1.59564208984,-0.00101470947266,0.0239865779877,32.0269432068,-447.230163574,0.401628822088,0.012895822525,0.850016593933
